Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Tolmetin,NSAID,Osteoarthritis,Capsule,400 mg,Oral,rheumatoid arthritis,GI upset,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events and GI bleeding.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Tolnaftate,Antifungal,Fungal skin infections,Solution,1%,Topical,Skin irritation,pruritus,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Tolterodine,Anticholinergic,Overactive bladder,Capsule,2 mg,Oral,Dry mouth,constipation,Strong CYP3A4 inhibitors may increase levels Can cause blurred vision and urinary retention.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Topiramate,Anticonvulsant,Seizures,Tablet,25 mg,Oral,migraine prevention,Weight loss,Can decrease efficacy of oral contraceptives and other drugs by inducing CYP450 enzymes Can cause metabolic acidosis and angle-closure glaucoma.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Cleft lip/palate risk),Prescription
Torsemide,Loop Diuretic,Edema (heart failure,Tablet,20 mg,Oral,hepatic,renal),Other ototoxic drugs may increase risk of hearing loss NSAIDs may reduce the diuretic effect Profound diuresis and electrolyte depletion can occur.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tramadol,Opioid Agonist,Pain,Tablet,50 mg,Oral,Constipation,nausea,CNS depressants including alcohol and benzodiazepines increase sedation risk MAOIs and other serotonergic drugs can cause serotonin syndrome.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Trandolapril,ACE Inhibitor,Hypertension,Tablet,2 mg,Oral,heart failure,Cough,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Risk of angioedema can occur at any time discontinue immediately.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ACE Inhibitor risk),Prescription
Tranexamic Acid,Antifibrinolytic,Heavy menstrual bleeding,Tablet,650 mg,Oral,bleeding prevention,Nausea,No significant drug interactions Can cause thrombosis and visual disturbances.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Trazodone,Serotonin Antagonist and Reuptake Inhibitor (SARI),Depression,Tablet,50 mg,Oral,insomnia,Sedation,CNS depressants may enhance sedative effects Can cause priapism a medical emergency.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Treprostinil,Prostacyclin Analog,Pulmonary arterial hypertension (PAH),Solution,1 mg/mL,Subcutaneous,Headache,diarrhea,Other vasodilators or antihypertensive drugs can have additive effects Can cause infusion site pain and reaction.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Tretinoin,Retinoid,Acne vulgaris,Cream,0.05%,Topical,Skin dryness,erythema,No significant drug interactions Highly teratogenic and can cause severe skin irritation.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Triamcinolone,Corticosteroid,Inflammatory conditions,Ointment,0.10%,Topical,Hyperglycemia,fluid retention,CYP3A4 inducers (eg phenytoin) may decrease efficacy and inhibitors may increase effects Can cause hyperglycemia and adrenal suppression with prolonged use.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Triamterene,Potassium-Sparing Diuretic,Hypertension,Capsule,50 mg,Oral,edema,Hyperkalemia,ACE inhibitors and ARBs may increase risk of hyperkalemia Can cause hyperkalemia and kidney stones.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Triamterene-Hydrochlorothiazide,Potassium-Sparing Diuretic + Thiazide Diuretic,Hypertension,Capsule,37.5/25 mg,Oral,Hyperkalemia,dizziness,ACE inhibitors and ARBs may increase risk of hyperkalemia and other drugs that lower potassium may have additive effects Can cause electrolyte imbalances including hyperkalemia and hypokalemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (ACE Inhibitor/Thiazide risk),Prescription
Triazolam,Benzodiazepine,Insomnia,Tablet,0.25 mg,Oral,Sedation,dizziness,Strong CYP3A4 inhibitors are contraindicated due to risk of profound sedation Can cause anterograde amnesia and severe sedation.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Trifluoperazine,Typical Antipsychotic,Psychotic disorders,Tablet,5 mg,Oral,Extrapyramidal symptoms,sedation,CNS depressants may enhance sedative effects Can cause extrapyramidal symptoms and neuroleptic malignant syndrome.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Trimethoprim,Antibiotic,UTIs (often combined with sulfamethoxazole),Tablet,100 mg,Oral,Nausea,rash,May increase levels of phenytoin and digoxin Can cause hyperkalemia and blood dyscrasias.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Trimipramine,Tricyclic Antidepressant,Depression,Capsule,25 mg,Oral,Dry mouth,sedation,MAOIs can cause serotonin syndrome and hyperpyrexia Strong anticholinergic effects may occur with other drugs Increased risk of suicide in children and young adults.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Triprolidine,Antihistamine,Allergic rhinitis,Syrup,2.5 mg/5 mL,Oral,Sedation,dry mouth,CNS depressants may enhance sedative effects May cause marked drowsiness and impair mental and physical abilities.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Triptorelin,GnRH Agonist,Prostate cancer,Powder for Injection,3.75 mg,Intramuscular,endometriosis,Hot flashes,No significant drug interactions Causes an initial increase in testosterone levels which may worsen symptoms in prostate cancer patients.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Tropicamide,Anticholinergic,Ocular cycloplegia,Solution,1%,Ophthalmic,mydriasis,Blurred vision,Other anticholinergic drugs can have additive effects Contraindicated in patients with angle-closure glaucoma.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Trospium,Anticholinergic,Overactive bladder,Tablet,20 mg,Oral,Dry mouth,constipation,Other anticholinergic drugs can have additive effects Can cause blurred vision and urinary retention.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Umeclidinium,Anticholinergic,COPD,Inhaler,62.5 mcg/actuation,Inhalation,Dry mouth,constipation,Other anticholinergic drugs can have additive effects Can cause paradoxical bronchospasm and narrow-angle glaucoma.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Undecylenic Acid,Antifungal,Fungal skin infections (e.g.,Ointment,25%,Topical,athlete's foot),Skin irritation,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,No data,No prescription required
Urea,Keratolytic,Dry skin,Cream,40%,Topical,xerosis,hyperkeratotic conditions,No significant drug interactions For topical use only can cause mild irritation.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Urokinase,Thrombolytic,Pulmonary embolism,000 unit,250,Powder for Injection,Acute myocardial infarction,Bleeding,Other drugs that affect hemostasis increase bleeding risk Can cause serious and fatal bleeding especially intracranial hemorrhage.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Intravenous
Ursodiol,Gallstone Dissolution Agent,Gallstones,Capsule,300 mg,Oral,primary biliary cholangitis,Diarrhea,Aluminum-based antacids and cholestyramine may reduce absorption Generally well-tolerated with diarrhea being the most common side effect.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Valacyclovir,Antiviral,Herpes simplex virus (HSV) infections,Tablet,500 mg,Oral,Varicella zoster virus (VZV) infections,Headache,Probenecid may decrease acyclovir clearance increasing its levels Maintain adequate hydration to prevent nephrotoxicity especially in elderly or dehydrated patients.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Valganciclovir,Antiviral,Cytomegalovirus (CMV) retinitis,Tablet,450 mg,Oral,Myelosuppression,diarrhea,Probenecid may decrease ganciclovir excretion Can cause severe myelosuppression and mutagenesis.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Valproic Acid,Anticonvulsant,Seizures,Capsule,250 mg,Oral,bipolar disorder,migraine prevention,CYP450 enzyme inducers may decrease levels Can cause severe hepatotoxicity and teratogenic effects including neural tube defects.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Neural tube defect risk),Prescription
Valsartan,ARB,Hypertension,Tablet,80 mg,Oral,heart failure,post-MI,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Use in pregnancy can cause injury and death to the developing fetus.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB risk),Prescription
Vancomycin,Glycopeptide Antibiotic,Serious bacterial infections (e.g.,Capsule,125 mg,Oral,MRSA),Red man syndrome,Other nephrotoxic drugs increase risk of toxicity Monitor levels to minimize risk of nephrotoxicity and ototoxicity (red man syndrome).,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Vandetanib,Kinase Inhibitor,Thyroid cancer,Tablet,100 mg,Oral,Diarrhea,rash,Strong CYP3A4 inhibitors may increase levels Can cause QT prolongation torsades de pointes and sudden death.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Vardenafil,PDE5 Inhibitor,Erectile dysfunction,Tablet,10 mg,Oral,Headache,flushing,Nitrates can cause severe hypotension Can cause priapism and sudden hearing loss.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Varenicline,Nicotinic Acetylcholine Receptor Partial Agonist,Smoking cessation,Tablet,0.5 mg,Oral,Nausea,abnormal dreams,No significant drug interactions Can cause serious neuropsychiatric events including depression and suicidal thoughts.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Varicella Vaccine,Vaccine,Prevention of varicella (chickenpox),Powder for Injection,1350 PFU/0.5 mL,Subcutaneous,Injection site reactions,fever,Immunosuppressive drugs may diminish the immune response Contraindicated in immunosuppression and pregnancy.,Frozen,Contraindicated (not allowed),Contraindicated; live vaccine,Prescription
Vasopressin,Posterior Pituitary Hormone,Diabetes insipidus,Solution,20 units/mL,Intravenous,vasodilatory shock,Abdominal cramps,Other drugs that can cause water intoxication may have additive effects Can cause hyponatremia and tissue necrosis with extravasation.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Vemurafenib,Kinase Inhibitor,Melanoma (BRAF V600E mutation),Tablet,240 mg,Oral,Arthralgia,rash,Strong CYP3A4 inducers may decrease efficacy Can promote the growth of certain skin cancers and cause QT prolongation.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Venlafaxine,SNRI,Depression,Capsule (ER),75 mg,Oral,anxiety disorders,Nausea,MAOIs can cause serotonin syndrome Can increase blood pressure and cause withdrawal symptoms upon discontinuation.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Verapamil,Non-Dihydropyridine CCB,Hypertension,Tablet (SR),120 mg,Oral,angina,atrial arrhythmias,CYP3A4 inhibitors can increase levels and inducers can decrease levels Can cause bradycardia and heart failure.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Vigabatrin,Anticonvulsant,Seizures,Tablet,500 mg,Oral,infantile spasms,Sedation,Other drugs that cause visual field defects may have additive effects Can cause permanent concentric visual field constriction.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Vilazodone,Serotonin Partial Agonist and Reuptake Inhibitor (SPARI),Depression,Tablet,20 mg,Oral,Diarrhea,nausea,MAOIs can cause serotonin syndrome Can cause diarrhea and insomnia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
